LATITUDE,LONGITUDE,FIRE_SIZE,date
35.09083333,-83.86083333,1.0,04-2007
35.22027778,-83.66611111,1.0,04-2007
35.21111111,-83.88805556,5.0,04-2007
35.18222222,-83.79416667,4.0,04-2007
37.07777778,-83.46805556,1.0,03-2007
34.93166667,-83.28888889,20.6,04-2007
37.2375,-83.49527778,4.0,03-2007
36.82027778,-92.86166667,20.0,04-2007
34.91277778,-93.05527778,7.2,04-2007
34.91277778,-93.05527778,9.1,04-2007
47.34055556,-93.94972222,0.1,04-2007
37.46611111,-88.71833333,4.0,04-2007
37.57027778,-88.8825,2.5,04-2007
34.85555556,-93.22722222,2.0,04-2007
47.6275,-93.71111111,0.1,04-2007
47.51333333,-94.07444444,3.8,04-2007
38.77194444,-119.81388889,0.25,04-2007
47.60916667,-93.67083333,4.9,04-2007
33.265,-79.57944444,4.7,03-2007
44.14805556,-84.66916667,0.25,04-2007
44.23888889,-85.98,0.5,04-2007
43.6925,-85.61416667,1.0,04-2007
44.51416667,-83.90833333,2.0,04-2007
37.02833333,-83.48805556,4.0,03-2007
33.21166667,-79.81472222,5.43,03-2007
33.34,-79.85055556,12.38,04-2007
44.08666667,-86.1775,4.0,03-2007
37.09861111,-83.44361111,26.0,03-2007
36.86666667,-82.43416667,304.0,04-2007
35.3575,-83.84555556,0.1,04-2007
32.26972222,-110.63972222,0.25,04-2007
32.26916667,-110.64138889,0.25,01-2007
37.87666667,-90.88388889,8.0,04-2007
48.94138889,-115.10583333,0.6,04-2007
48.28805556,-115.51444444,0.5,04-2007
39.01944444,-86.43027778,0.1,04-2007
44.12444444,-86.16222222,6.0,04-2007
46.09638889,-112.38972222,0.1,04-2007
37.55333333,-83.87361111,82.0,04-2007
33.1825,-116.81916667,0.1,03-2007
34.26194444,-117.8475,0.1,04-2007
37.0475,-83.49805556,15.0,03-2007
36.94,-92.27805556,28.0,04-2007
36.51472222,-93.78416667,11.0,04-2007
41.32194444,-122.06416667,0.1,04-2007
47.83888889,-94.23583333,1.0,04-2007
47.55027778,-94.66055556,0.1,04-2007
43.41194444,-85.56388889,1.0,04-2007
34.58305556,-111.26083333,0.1,04-2007
34.52833333,-112.53916667,0.1,04-2007
37.01583333,-83.68194444,113.0,04-2007
33.30416667,-79.89694444,0.38,04-2007
39.93555556,-120.86861111,0.25,04-2007
35.26805556,-83.85027778,10.0,05-2007
34.85833333,-76.90916667,95.0,05-2007
36.95166667,-91.0075,0.1,04-2007
36.92666667,-90.46277778,0.25,05-2007
44.21222222,-86.24472222,1.0,04-2007
44.5775,-83.8425,1.0,05-2007
43.90666667,-103.37138889,0.1,04-2007
43.95944444,-103.36638889,0.1,05-2007
37.03111111,-83.48361111,1.5,04-2007
37.15472222,-84.22833333,69.0,04-2007
37.0275,-83.45583333,200.0,04-2007
44.22361111,-85.09388889,0.1,05-2007
33.77805556,-108.715,0.1,04-2007
33.87472222,-108.68305556,1.3,05-2007
37.0275,-83.45583333,300.0,04-2007
47.34305556,-94.21055556,1.5,05-2007
47.34222222,-94.21,0.01,05-2007
35.87222222,-112.1225,0.1,04-2007
40.46722222,-123.05111111,0.1,03-2007
36.98916667,-107.35944444,0.5,05-2007
47.08305556,-94.28972222,0.01,05-2007
40.62194444,-123.4225,0.1,04-2007
36.96027778,-84.16055556,6.0,04-2007
33.99944444,-81.95222222,2.14,04-2007
37.87888889,-78.99166667,0.83,04-2007
38.55416667,-79.18277778,13.6,05-2007
40.62388889,-123.41833333,0.1,04-2007
37.27666667,-84.28277778,63.0,04-2007
40.62333333,-123.41833333,0.1,04-2007
36.37305556,-106.22888889,0.2,04-2007
37.52944444,-84.09,84.0,04-2007
44.05,-85.89,0.25,05-2007
35.97777778,-92.32361111,41.0,03-2007
40.4075,-123.21111111,0.01,04-2007
34.71888889,-90.70166667,0.1,03-2007
47.35444444,-94.3975,1.4,05-2007
34.66916667,-90.73361111,15.0,03-2007
41.23777778,-123.66694444,0.8,03-2007
34.90555556,-83.84111111,2.2,04-2007
41.25111111,-123.63777778,0.1,04-2007
40.96805556,-123.635,0.2,04-2007
33.05222222,-83.25388889,30.48,05-2007
46.63361111,-88.52083333,43.3,04-2007
46.23777778,-88.76694444,0.25,04-2007
34.66722222,-111.10888889,2.0,05-2007
34.43638889,-111.31555556,0.1,05-2007
34.52805556,-111.3275,0.1,05-2007
47.36944444,-94.60694444,0.1,05-2007
37.53666667,-89.32472222,5.0,04-2007
36.58611111,-84.43611111,2.0,04-2007
35.13277778,-111.61416667,0.75,04-2007
